Course Name,Course Description
Advertising Strategy,"""Companies spend $560 billion on advertising worldwide and a great deal of it is wasted. This class is designed to teach students to be stronger critical thinkers with an emphasis on developing more effective advertising across traditional and digital channels. Created for client-side managers tasked with advertising responsibilities as well as general managers overseeing communications, the class tackles both advertising strategy and execution. In a rapidly evolving marketing ecosystem, it\u0027s never been more important to have a strategic lens. This course emphasizes the development of the central nucleus of any advertising strategy- the creative brief- to manage and guide relationship with your creative partners.  \r\n \r\nThe first half focuses on general advertising strategy - creating meaningful goals; selecting an attractive target for advertising, uncovering actionable insights, and developing an effective brand position. The remainder of the course examines the strategic planning of the tactical execution- understanding media, evaluating creative, and measuring effectiveness. The emphasis of the class is on practical application. As such, the courses analyzes advertising challenges through real-life examples. Students review cases weekly, complete several case assignments, tackle a current company\u0027s situation in a group assignment, and complete a take home final comprised of mini-cases."""
Product Management for Technology Companies: An Entrepreneurial Perspective,"""Product Management for Technology Companies provides the conceptual frameworks, tools and hands-on experience to become successful product managers in technology companies. With a holistic and entrepreneurial perspective of product management, the course provides an end-to-end view of all major aspects of product management and product marketing. Topics include product opportunity analysis, product discovery, business model design, agile product development, go-to-market strategy, whole offer design, ecosystem management, product planning and managing products as an ongoing business. This comprehensive approach prepares students for various product-focused roles, including product management, product marketing, product planning and business development. The case studies and assignments in the course are all developed at Kellogg and designed specifically for the course. Assignments include a wireframing assignment, a SaaS economics quantitative assignment and a product roadmapping assignment. The case studies and course content reflect a balance between product management in large technology companies versus smaller technology startup companies."""
Services Marketing and Management,"""Services dominate the U.S. and the world\u0027s economy. In the U.S. approximately 81% of the labor force and 80% of the GDP are accounted for by services. In fact, services provide most of the new jobs in many developing and highly developed economies. More importantly, services increasingly drive the competitive advantage of many successful companies in all industry sectors around the globe. This course focuses on unique and fundamental challenges of managing service brands and delivering quality service (as well as memorable experiences) to consumers across industry sectors. You will gain critical skills and knowledge to manage service brands (e.g., banking, entertainment, hospitality and healthcare, professional services) and implement service strategies to companies that depend on services for competitive advantage (e.g., manufacturing business, automotive, retail). This course will further incorporate service design thinking and experience management framework to give you a holistic insight into the service management approach."""
Retail Analytics and Pricing,"""This course will teach you how to use analytics and data to address decisions faced by retailers and manufacturers. Pricing and promotion decisions are emphasized, with additional coverage on topics such as private labels, product assortment, trade funding, shopper marketing, and more. The course is organized around a hierarchy of topics. We spend roughly one week understanding pricing and promoting to an individual customer. This analysis provides the foundation as we move to more aggregate decisions, such as setting regular and promoted prices at the product level, managing category pricing, and understanding the drivers of store traffic. As we progress through this hierarchy of decisions, we illustrate how different types of data can---or can\u0027t---be used to answer managerial questions. A key part of the class is understanding the limitations of different types of data and how better planning can both simplify the analytics and increase your confidence in the findings. This class is very practical and hands-on. Most of the data we analyze is from real-world managerial problems, through collaborations with leading retailers and consulting firms who have brought problem-driven challenges to the classroom. Weekly homework assignments, both individual and group, are paired with in-class cases. There is no final exam."""
Launching New Products and Services,"""The course deals with the challenge of launching new products and services into the market. Focusing mainly on large and established companies interested in pursuing growth, we will discuss the steps needed to bring products to market, including understanding customer needs, conducting sales forecasts, and designing a launch plan, including targeting, positioning, advertising, pricing, and distribution decisions. Class sessions will include a combination of lectures, in-class exercises, case discussions, simulations, and guest speakers. Deliverables include individual and groups assignments and a final group project."""
Marketing Strategy for Growth and Defense,"""This course presents a dynamic view of competitive brand strategy, with an emphasis on both growth and defense. The course focuses on understanding, developing and evaluating brand strategies over the life of a product market. Topics include developing a strong marketing plan, creating customer advantage, launching new products, finding profitable growth opportunities and responding to competitive moves. The course focuses on overall company strategy, with a heavy emphasis on the financial challenges and tradeoffs, and spends less time on executional, tactical details. The course includes lectures, case studies and a simulation, Markstrat. Final deliverables are an exam and often a final product."""
Technology Marketing,"""This course provides students with conceptual frameworks and analytical tools for marketing decision making in high-growth and turbulent technology businesses. It is a strategic marketing course for students seeking product management or strategic marketing jobs with large technology companies, technology startup firms or B2B industrial companies. The course is cross-functional, decision-focused and strategic in its orientation. Topics include marketing in a digital world, gaining customer insights, demand forecasting and strategic planning in technology markets, automated behavioral marketing, managing agile product development, platform strategy, designing customer solutions and digital brand storytelling. Student assignments include developing quantitative spreadsheet-based forecasting models and playing an interactive strategy simulation called CloudStrat, specifically developed for the course. The simulation game teaches students about strategic decision making in dynamic technology markets as they navigate a software company\u0027s transition from legacy premise-based software to software as a service (SaaS). Industries covered in the course include software, online services, medical equipment and hardware. All case studies in the course have been developed at Kellogg specifically for the course."""
Strategic Brand Management,"""As many products and services are becoming commoditized, brands are becoming increasingly important as key non-price differentiators. As a result, brands now have the potential to play an even greater role in creating value for customers as well as for the company. In this course, you will learn how to create and manage successful brands. We will discuss the key factors that enable brands to create value, focusing on the strategic aspects of building strong brands. You will learn about brand management in three different formats. First, you will learn from the lectures and the assigned course materials, which provide the background necessary to address the problems we will discuss in class. The second venue for learning is class discussions. Here you will have the opportunity to present your point of view and defend it against those of your classmates. Our goal for the class discussion is to come up with a viable solution for the branding problem faced by the company. Finally, the third learning venue is the individual case preparation and the case-related discussions within each team prior to discussing the case in class.\r\n\r\nThe ultimate goal of this course is to enhance your knowledge of branding and brand management. Specifically, this course aims to: (1) introduce the key elements of brand management, (2) provide a sound framework for brand-focused action planning, and (3) sharpen your leadership, analytical, and communication skills. The course involves a mixture of case discussions and lectures, with an emphasis on developing a strategic approach that will enable you to understand the environment in which a company operates and identify opportunities and threats, identify and solve brand-related marketing problems, and develop actionable brand management plans."""
C Suite and Boardroom Dynamics,"""This course deals with a wide variety of subjects that are a top priority for Boards of Directors, CEOs and others in the C-Suite. It will expose you to how boards function, what their responsibilities are, and how an effective CEO manages so many diverse roles where financial, legal, social and ethical priorities are constantly in conflict.\r\n\r\nThere are two modules in this class:\r\n\r\nModule One: Understanding the Boardroom\r\nTopics Include:\r\n- Roles and Responsibilities of the Board\r\n- Corporate Governance\r\n- Succession Planning\r\n- Activists in the Boardroom\r\n- Crisis Management\r\n- Corporate Social Responsibility\r\n- Diversification and Acquisition\r\n- How Great Companies Collapse\r\n- Keeping Strategies and Brands Relevant\r\n\r\nModule Two: You as a CEO - Leadership Skills\r\nDesigned to build skills in the \""gray\"" areas of management, you will play the role of a decision maker facing conflicting responsibilities, ambiguous standards and ethical conflicts.\r\nTopics Include:\r\n- Managing Change\r\n- Ethical Dilemmas\r\n- Human Behavior\r\n- Group Dynamics\r\n- Negotiation Skills\r\n- Conflict Management\r\nThis course includes a mixture of case discussions, lectures, role-playing and weekly discussion of current events. It deals with several discrete topics holistically with emphasis on the practical realities in the C-Suite and the Boardroom. It is a particularly useful platform of learning for students who wish to understand the \""real world\"" implications of being in the C-Suite. Unlike most classes, the subjects are non-linear and do not necessarily build on each other.\r\n\r\nThere will be a number of guest speakers at the C-level."""
Critical Thinking in Digital and Social Media Marketing,"""Marketing in the modern digital landscape involves a number of challenges as platforms, technology, competitive landscapes, data availability, and analytics techniques evolve rapidly. This class prepares students to be effective marketing leaders in landscapes that involve digital and social media initiatives and equips them to make strategic decisions in rapidly evolving and data-rich environments. Students will gain a working knowledge of the digital marketing landscape, learn to critically assess strategic digital and social media plans, and evaluate a range of approaches and techniques for measurement of digital and social media data. Core Marketing 430 is a pre-requisite unless otherwise approved by the Professor."""
Customer Analytics and AI,"""Marketing is evolving from an art to a science. Many firms have extensive information about consumers\u0027 choices and how they react to marketing campaigns, but few firms have the expertise to intelligently act on such information. In this course, students will learn the scientific approach to marketing with hands-on use of technologies such as databases, analytics, machine learning, and computing systems to collect, analyze, and act on customer information. While students will employ quantitative methods in the course, the goal is not to produce experts in statistics; rather, students will gain the competency to interact with and manage a marketing analytics and AI team.\r\n\r\nWe will use the statistics program R in Customer Analytics and AI. R is harder to use that Stata but has become the industry standard (together with Python) and is extremely good for data management, visualization, and Machine Learning. Before you start the course, you will need to learn how to use R using tutorials and online course. There will be an assignment that is due at the beginning of the first class to make sure that you are sufficiently proficient in R before the course starts. Please do not take this class if you are not willing or able to make this investment.\r\n\r\nThe course consists of lectures, in-class exercises, group work, and case discussions. You will use R throughout the class to work with individual-level customer data. \r\n\r\nThe course has no final; instead, students are evaluated on their performance on weekly assignments. \r\n\r\nThis course has no overlap with other existing analytics or AI courses at Kellogg. The course is an excellent companion to Retail Analytics."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Field Study,"""Field Study"""
Independent Study,"""Students with superior records who wish to study some significant phase of marketing in more depth than is provided in regular courses may register for independent study with a selected instructor. Permission of the instructor and department are required."""
Independent Study,""""""
Theory Building in Consumer Behavior Research,"""The purpose of this course is to acquaint you with the principles of theory building in social science research, to help you distinguish between theory-building research and research with other aims, and to provide you with an opportunity to develop your ability to conceptualize and develop research that builds theory."""
Methods and Data in Consumer Research,"""This course focusses on three topics: (1) how to formulate and test interaction effects with continuous and discrete factors in experimental designs; (2) how to perform meta-analyses of multiple as well as single (e.g., your) papers; and (3) how to conduct and interpret mediation analyses. Techniques that facilitate reproducible manuscripts which integrate text, data analyses, and statistical outputs are emphasized."""
Developing Impactful Consumer Behavior Research,"""Taking a problem-solving approach, we examine how psychological insights inform and solve real-world consumption problems, and how real-world problems provide new psychological insights. Taking an empirical deep-dive, we also discuss published data, what we can/cannot infer, how to make objective conclusions, and to enhance their substantive impact (e.g., employing observational data, field studies, choice data, and/or programmatic experimental designs)."""
Special Topics in Consumer Research,"""This course introduces students to new topics and approaches in consumer behavior research. As such, the topics will change from year to year, and students will be challenged to further develop the theoretical model proposed in the papers. Besides being relevant to marketing students, this course is likely of interest to graduate students in psychology, communication studies and education."""
Quantitative Marketing: Analytic Modeling,"""Analytic models are used across many areas of marketing including strategy, pricing, product design, channel management, and sales force compensation to provide insight into the impact of market forces, competition, consumers, and firm choices on outcomes such as profit, sales, and welfare. In this course, we cover what analytic models are, their purposes, and how to build and analyze them."""
Quantitative Marketing: Introduction to Theory and Empirical Methods,"""This survey course introduces students to substantive and methodological issues in quantitative marketing. We cover ~6 weeks of material on substantive issues such as pricing, advertising, peer effects, and word of mouth. We also cover ~4 weeks of material on methods of causal inference. The readings are multidisciplinary and include topics from marketing, psychology, microeconomics, operations management, and macroeconomics"""
Quantitative Marketing: Statistical Modeling,"""This is a doctoral course on statistical models and topics alternate from year to year. Currently, in odd years the course is on Bayesian methods and computation while in even years the course is on applied and computational statistics. Marketing applications include but are not limited to conjoint analysis, choice models, data minimization, perceptual maps, etc."""
Quantitative Marketing: Structural Modeling,"""This course provides a foundational understanding of static and dynamic discrete-choice models, with applications drawn from quantitative marketing and economics. The course takes a \""hands on\"" approach to research, with class being a mix of lectures, discussion of articles, and hands-on empirical analysis. Coding assignments are the bulk of the grade."""
Topics in Quantitative Marketing,"""This seminar required of 2nd-4th year students exposes students to working papers in current areas of active research. Students read, present, and discuss recent papers with the goal of improving their ability to evaluate a paper\u0027s academic contribution and managerial relevance and to further extend their knowledge of models and methods."""
Topics in Quantitative Mktg,"""To be scheduled after MKTG 552-0. For use when MKTG 552-0 runs beyond 1 quarter."""
Marketing Strategy,"""The seminar covers topics in marketing strategy and marketing management, including the development of marketing, the concept of marketing, the impact of marketing strategy on firm performance, order of entry and competitive advantage, branding, and market orientation. The focus is on major advances in each area, relevant research in related disciplines, and current areas of interest."""
Research,"""Independent investigation of selected problems pertaining to thesis or dissertation. May be repeated for credit."""
Marketing General Credit,"""Marketing General Credit -- MKTG"""
Marketing Consulting Laboratory,"""The Marketing Consulting Lab allows students to work on a real-time 10-week consulting project. Students will be assigned to a team of 5-6 students and a client, and will be paired with a coach from Kearney Consulting. Past clients include AbbVie, Crate and Barrel, Coca-Cola, McDonalds, Nike, Nissan, and Uber. During the weekly class meetings, students will work in teams on their project, and will learn from the professors relevant discipline-content that is specifically customized for their individual project. As one student summarized their experience: \""This much anticipated experiential learning course at Kellogg was worth the wait and I look forward to leveraging these takeaways throughout the rest of my time in the program and beyond in my professional career.\""\r\n\r\n\u003cp\u003eThis course may not be dropped less than a week prior to the start of the quarter\u003c/p\u003e\r\n\r\n\u003cp\u003e\u003cstrong\u003e\u003cem\u003eRecommended\u003c/em\u003e Prerequisite\u003c/strong\u003e: MKTG-450-0\u003c/p\u003e"""
"Consumers, Culture & Strategy","""The success of every organization depends on its ability to attract and retain customers. Traditionally, firms have done so by seeking to understand and respond to customers. Firms that meet customers needs best gain competitive advantage. Legendary firms such as Toyota and Unilever thrived using this market-driven approach. \r\nRejecting this approach, firms such as Apple and Starbucks embrace a market-driving approach. Drawing on their organization\u0027s culture, these firms compete to gain influence over consumers. Firms that win influence shape consumer thinking and achieve success that competitors struggle to imitate.\r\nIn this course, we will explore the many different ways in which firms win this battle for influence. Our classes will focus on discussions of concepts, examples and cases. Students will be responsible for developing individual recommendations prior to case discussions, one written group case analysis, and the course will have an individual final exam."""
Technology for Analytics: What a CMO Needs to Know,"""Information technology is inextricably linked with the generation and management of data for use in analytics. The course provides an overview of enterprise and cloud  technology building blocks and how they enable data analytics. We also discuss today\u0027s typical technology infrastructures for data analytics and where the technology seems to be headed. Finally, we talk about the benefits and costs of different ways to organize a data analytics function as wells as privacy and security considerations around data. The overall goal is to develop an understanding for how information technology decisions affects the performance of Data Analytics in organizations."""
"Growing Businesses, Growing People","""This course offers an actionable framework on how to deliver transformational growth for your business, for yourself, and for your team.  The discussion covers how to focus and make choices, foster entrepreneurial leadership, and create a nimble, agile organization.\r\n\r\nSuccess is 10 percent strategy and 90 percent execution. This course focuses on execution and making things happen. But, if everything is going well, something is wrong. Failure happens. A key element of discussion is how you, individually, as well as your business, can learn from failure and course-correct.\r\n\r\nThis is a discussion-based course with group projects and no final exam.\r\n\r\nThe course features speakers who are senior leaders in industry."""
Influencer Marketing,"""With the ever-growing fight for customersâ€™ attention, influencer marketing is a way to build brands and drive awareness through to purchase for products and services.  But many organizations are not fully unlocking the power of influencers to reach their business goals.  This course will teach you how to plan and execute a clear influencer marketing strategy and build effective campaigns. We will learn how to measure influencersâ€™ value to companies and learn how influencers create value for themselves. Class sessions are experiential and include a combination of best practice frameworks, in-class exercises, guest speakers, hands on influencer software experience and a project with a local company."""
Customer Loyalty,"""Customer loyalty is foundational to value creation by a wide and growing range of enterprises. This course teaches a strategic approach to the development of customer loyalty. It provides a comprehensive framework for thinking critically about customer loyalty, a structured approach to the development of customer loyalty strategies and practical imperatives for the design, development and execution of loyalty programs and related marketing activities.  The course is organized in three parts: customer strategy, loyalty strategy and loyalty programs. You learn how to design a loyalty program. Additionally, we focus on related subjects such as: customer differentiation and valuation, CRM and personalization at scale.\r\n\r\nThe course concentrates on how to develop customer strategy, loyalty strategy and loyalty programs in actual practice. We use lots of current examples from a wide range of businesses (e.g., retail, travel, financial services, telecom, health care, CPG) including both B-C and B-B.\r\n\r\nThe class sessions combine lecture, group discussion, a class debate and usually an outside speaker. The course readings are two short books and a set of articles. There are three assignments including two individual and one group assignment. The group assignment that culminates the course is to design a loyalty program for a cruise line. There is no final exam."""
Ethnographic Customer Insights,"""This course will provide you-the entrepreneur, the product manager, the director of finance or whatever your discipline may be-your own case study and framework on how to conduct ethnographic research and distill insight to surprise and delight your customer across the entire customer journey. In this highly experiential course you will partner with a real client to help them solve a business question via ethnographic research. You will learn how to set up an ethnographic research project; conduct ethnographies; analyze and tell a story around qualitative data; and build influence and alignment around your recommendations. This course uses a combination of lectures, case studies, and in-class exercises to prepare you for your final group project which you will present to the client\u0027s senior leadership team, and that will inform their upcoming strategic plan. There is no final exam."""
Digital Marketing Implementation,"""This tactical class prepares you to design, implement, and optimize digital marketing spend on Google Ads, Facebook, Instagram and more. On Google, you will learn about structuring campaigns, keyword research, and effective bid strategies. On Facebook, you will learn best practices for creating audiences and launching ads. You will have an opportunity to spend real marketing dollars. No prior experience with digital marketing is required. After completing the course, you will feel confident launching and managing digital marketing campaigns and analyzing the results. You will also gain the ability to provide constructive feedback to marketing agencies. Core Marketing 430 is a pre-requisite unless otherwise approved by the Professor."""
Behavioral Marketing Science,"""This course delves into behavioral research in marketing and psychology to facilitate the design of more effective ways to implement marketing mix strategies.  By drawing on relevant research insights into how consumers make decisions, we will learn how to:\r\n\u003cul\u003e\r\n\u003cli\u003eframe message to maximize impact\u003c/li\u003e\r\n\u003cli\u003edesign product displays to entice purchase\u003c/li\u003e\r\n\u003cli\u003edevelop loyalty programs to increase and expedite repeat purchases\u003c/li\u003e\r\n\u003cli\u003estreamline product offerings to increase profit\u003c/li\u003e\r\n\u003cli\u003etake many other valuable actions\u003c/li\u003e\r\n\u003c/ul\u003e\r\n\r\nThe class uses a mix of lectures, cases and examples to show how people\u0027s decisions are influenced by their \r\n\u003cul\u003e\r\n\u003cli\u003emotivation (e.g., do you have a growth or safety goal?)\u003c/li\u003e\r\n\u003cli\u003ecognition (e.g., do you agree or disagree with the content?)\u003c/li\u003e\r\n\u003cli\u003emetacognition (e.g., what does it mean to have considered pros and cons?)\u003c/li\u003e\r\n\u003cli\u003eemotion (e.g., are you feeling sad or anxious?)\u003c/li\u003e\r\n\u003c/ul\u003e\r\n\r\nWe build on the concepts you learned in the core marketing class (MKTG430) so that you become not only the marketing strategist, but also the best executor of the marketing strategies."""
Entrepreneurial Tools for Digital Marketing,"""\u003cB\u003eThis course was formerly known as MKTG 961-A/MKTG 961-B\u003c/B\u003e\u003cBR\u003eIn this course, we discuss the strategies and tactics smart startups use to get traction online. You will learn dozens of strategies for acquiring new customers and when to use them, what matters when optimizing your site for search engines, how to get early PR, how to leverage social media to build your brand, how to use paid channels to drive growth at scale, how to optimize your site so customers are compelled to take action, how to maximize your retention rate, how to architect a referral loop that works, what data to focus on and what to ignore, and much more. Plan on fast-paced lectures and hands-on group project work."""
Luxury Strategy,"""In this course, we explore how firms develop successful luxury strategies. Rather than starting from consumer needs, firms create luxury strategy starting with a vision or inspiration. Instead of responding to consumers, luxury strategies shape customer thinking. We will explore how firms craft strategies that yields rare, extraordinary and symbolic value for consumers. We will explore how luxury firms attract devoted customers while paradoxically rejecting consumer input, create symbolic value, and remain rare and extraordinary in the minds of consumers while achieving enduring global success."""
Marketing in Emerging Markets,"""One of the great opportunities for business growth is in emerging markets. McKinsey estimates that by 2025 annual consumption in emerging markets will be $30 trillion. However, emerging markets pose unique challenges when it comes to marketing. Having a deeper understanding of customers in these markets and adapting marketing strategies to fulfill their needs is often complicated. Firms often under-estimate this complexity and struggle to gain share and profitable growth. This course will give students the understanding of customers and necessary marketing skills to capitalize on the immense opportunities in emerging markets."""
Leadership in Organizations,"""This course provides students with the social science tools needed to solve organizational problems and influence the actions of individuals, groups and organizations. It prepares managers to understand how to best organize and motivate the human capital of the firm, manage social networks and alliances, and execute strategic change. This is accomplished through knowledge of competitive decision making, reward system design, team building, strategic negotiation, political dynamics, corporate culture and strategic organizational design."""
Leading the Strategic Change Process,"""This course focuses on key tasks in leading the strategic change process in organizations. These leadership tasks include creating a shared urgent need for change, creating a shared understanding of the reality of change issues, creating a change vision, promoting the belief that change is possible and leading the change transition process. Topics include creating and changing corporate culture, managing growth and decline, corporate restructuring, creating innovation and entrepreneurship, and leading the transition from an entrepreneurial start-up organization to an organization that can manage scale and scope and sustain competitive advantage. \u003cP\u003eAs part of this course, some faculty include a required all-day simulation project, often held on a Saturday; please see the syllabus or contact the professor for the course section.\u003cP\u003e"""
"Power In Organizations: Sources, Strategies and Skills","""Power dynamics are fundamental to the effective exercise of leadership in organizations. This course develops your ability to create and use sources of power beyond formal authority, to formulate strategies and tactics of political and social influence, and to exercise skills that make you a more effective organizational leader. Readings, case materials, course assignments and a field action project focus on the challenge of sustainable political advantage in organizations - the rules of the game, basic power diagnostics, the management of strategic dependencies and persuasion processes, and working in entrepreneurial contexts. Throughout, the course raises issues of career dynamics in the context of the development of your leadership abilities."""
Strategy Implementation,"""Two-thirds of business and corporate strategies fail not due to poor strategy or flawed logic but poor execution. However smart a new strategy may be, it takes informed managers and strong leadership to make it a successful one. Expanding on the lessons from STRT 431, this course focuses on strategy implementation, with emphasis on the decisions, actions, structures, and conditions that facilitate the successful attainment of strategic objectives. Our guiding framework involves applying principles of social organization to mobilize the necessary resources to pursue a given strategy."""
Winning with Networks,"""Leaders face new levels of connectivity, complexity, and unpredictability. This course prepares leaders to use the powerful tools of computational thinking and network analysis to better anticipate, understand, and respond to these challenges. The content involves in-depth training within vis-a-vis diverse use cases, including patenting, innovation adoption, influentials, social contagion, crowdsourcing, hot streaks, and prediction markets. Content delivery is lecture-based with in-class experiential exercises and a final group project aided by a \""genius bar\"" where students work hand-in-hand with data scientists. Students leave the course with a practical toolkit for leadership vision enhancement, value creation, and the contagious adoption of your ideas and innovations.  The course was developed jointly with Professor Uzzi and complements the MORS-430 leadership and organizations course."""
Leading and Managing Teams,"""This course examines the design, management, and leadership of teams in organizational settings. The focus is on the interpersonal processes and structural characteristics that influence the effectiveness of teams, the dynamics of intra-team relationships, and sharing of knowledge and information in teams. This class is very practical and hands-on. Each week, students engage in an experiential team challenge (activity or case) pertaining to a key aspect of team and group dynamics. Students are assigned to a group at the beginning of the quarter. This group complete a group project studying and analyzing dynamics and processes of a real client team. There is no final exam, and each group delivers a case study of their client team at the end of quarter."""
Beyond Diversity: The Fundamentals of Inclusive Leadership,"""Modern leaders find themselves at a critical moment in human history in which our workplaces, marketplaces, and communities are rapidly becoming evermore diverse - on multiple dimensions. Though this reality is often met with fear, anxiety, and confusion, the fact remains that diversity is here to stay. Knowing why and how to harness the power of human difference to facilitate human flourishing is a critical competency for leaders. This five-week course introduces students to the challenges and opportunities of diversity and provides evidence-based insights and practical strategies for how to accelerate full inclusion \u0026 belonging as a pathway to sustainability and competitive advantage. By engaging students in intense discussion-based and experiential learning, this survey course equips students with fundamental insights and tools for successfully building and leading organizations that are diverse, equitable, inclusive, and just."""
Negotiations,"""This course is designed to provide both the fundamentals of negotiation strategy, as well as a broad application of these fundamentals to advanced topics. The goal is to improve students\u0027 skills in all phases of negotiation: understanding prescriptive and descriptive negotiation theory as it applies to dyadic and multiparty negotiations, to buyer-seller transactions and the resolution of disputes, to the development of negotiation strategy and to the management of integrative and distributive aspects of the negotiation process. The course is based on a series of simulated negotiations in a variety of contexts including one-on-one, multi-party, cross-cultural, third-party and team negotiations. There is an attendance policy."""
Negotiating in a Virtual World,"""Negotiation is the art and science of securing agreements between two or more interdependent parties who have different incentives, but attempt to reach mutual agreement to maximize their outcomes. Many negotiations occur between people who never meet in person, but instead communicate via information technology, including: phone, skype, text, email, conference call, etc.  These \""virtual\"" negotiations present novel social and communication challenges for managers and their teams. This course provides participants with the opportunity to develop their negotiation skills in a series of business negotiations conducted with others who are not physically co-present. Students in this course will master the key skills of successful negotiation and become proficient in virtual communication.\r\n\r\nWe will never meet in person.  Instead, the course will be conducted online, with students negotiating with others via the communication medium of their choice (e.g., face-to-face; phone; email; text; skype; or a combination of these). \r\n \r\n\u003cB\u003eIMPORTANT:  The course begins on the first day of the new term.  All of the course information will be on the CANVAS course website. That will be our go-to-place for everything! Mandatory assignments are due the first Tuesday of the new term\u003c/B\u003e."""
Negotiations Fundamentals,"""This course is designed to provide the fundamentals of negotiation strategy and to improve students\u0027 skills in all phases of negotiation. The course provides an understanding of prescriptive and descriptive negotiation theory as it applies to two party negotiations, team negotiations, resolution of disputes, agents and ethics, and management of the negotiation process. The course is based on a series of simulated negotiations in a variety of contexts. Attendance at every class meeting is mandatory."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Independent Study,"""Students who have established superior records and who wish to study more in depth than what is provided in regular courses may register for independent study with a selected instructor. Permission of the instructor and the department is required."""
Independent Study,""""""
Special Topics in Management & Organizations: Micro,"""The course covers classic and recent research topics in micro-oriented areas of Management and Organizations. Topics are drawn from social psychology, organizational behavior, and micro-organizational research methods."""
Special Topics in Management and Organizations: Macro,"""The course covers classic and recent research topics in macro-oriented areas of Management and Organizations. Topics are drawn from sociology, organizational theory, and macro-organizational research methods."""
Special Topics in Management & Organizations: Emerging Topics in Computational Social Science,"""Social scientists increasingly have access to data sets of unparalleled scope and complexity. At the same time, there has been remarkable development in fields like network science, data science, and machine learning over the past decade, which offers us a wide range of tools that help us make sense of this data with growing accuracy and robustness. Together, the new data and computational methods offer researchers opportunities to explore and understand human behavior at an unprecedented level of scale and detail, fueling the emergence of an exciting, interdisciplinary field called computational social science. This course surveys the emerging frontiers in the field, open to students from both computational and social science backgrounds. For those new to the social sciences, this is an opportunity to see where your computer science and statistical skills can go, with innovative applications to problems of massive societal interest. For those new to computational methods, this is a chance to develop the tools necessary to make new and exciting contributions, tools that will shape the originality and power of your work for years to come."""
The Individual and the Organization,"""Individual behavior in organizational settings. Topics include recent theory and research on social cognition, decision making, negotiation, groups, norms, fairness, and equity theory."""
Social Processes in Organizations,"""Group behavior in organizational settings. Topics include recent theory and research on group formation, social influence, group composition, group performance, group decision making, diversity, coalitions, intergroup relations and social dilemmas."""
Behavior in Organizational Systems,"""Theory construction, with effort at verification, drawing on empirical studies. Macro-level analysis of internal organizational system problems such as goals, structure, roles, power, authority, communications, and controls."""
Organizations in Their Environments,"""Analysis of organizations as open systems in relation to social, cultural, political and economic environments. The course covers classical, canonical and contemporary approaches in management research and organizational sociology, as well as selective research in other disciplines."""
Micro-Organizational Research Methods,"""This course provides an introduction to research designs and methods for \""micro\"" research in organizations. The purpose to develop students\u0027 skill at designing, executing, interpreting, and evaluating micro-organizational and social psychological research. The course addresses both theoretical and practical considerations of research methods, with a special focus on the role of laboratory experiments and other common methods in behavioral research."""
Macro-Organizational Research Methods,"""This course examines the empirical research methods commonly used to test key concepts in macro-organizational theory.  It focuses on developing doctoral students\u0027 skills in (1) identifying interesting research questions, (2) linking them creatively and appropriately to specific research contexts, measures, and analyses, and then (3) ensuring a clarity of writing at the level of a publishable study."""
Research,"""Independent investigation of selected problems pertaining to thesis or dissertation. May be repeated for credit."""
Management and Organizations General Credit,"""Management and Organizations General Credit"""
Recruiting & Retaining Talent in Growth Companies,"""\u003cB\u003eThis course was formerly known as MORS 915-A\u003c/B\u003e\u003cBR\u003eThis course examines in detail the critical importance of developing and aligning an executable human capital strategy as a fundamental driver in the successful scaling of an enterprise. Using the business strategy and operating plan as a launching point, students will gain a practical understanding on how to create an enabling organizational structure that provides clarity of roles and accountabilities (individual and team), recruitment and retention strategies, performance management and incentive systems, and a range of process design tools.  Examples and case studies will focus on companies from multiple industries and capital structures that are transitioning from early stage to a larger, more sustainable business. Students also will have the opportunity to apply these principles and capabilities in a group case study in a learning environment that encourages diverse dialogue and collaborative learning."""
Corporate Entrepreneurship: Organization Design for Disruption,"""Doing new things is hard--especially when you\u0027re good at what you\u0027re currently doing. This is true for individuals, and even more so for corporations. Corporate Entrepreneurship: Organization Design for Disruption explores the barriers to successful corporate entrepreneurship, and discusses ways to structure your organization to overcome these barriers and sustain entrepreneurship.\r\n\r\nCase-based analysis, hands-on exercises, and lectures foster critical thinking about designing for innovation, entrepreneurship, and disruption. Evaluation is based on active and meaningful contributions to in-class discussion, two memos, and a final group project."""
